image_path,xmin,ymin,xmax,ymax,label,xmin_m,xmax_m,ymin_m,ymax_m,width_m,height_m,area_m2
database_batch_1.tif,0.0461812377345184,0.0445632310424445,1.092955959716936,1.7825292416977838,Lemon,0.04350992560087914,1.0297349058874739,0.043509925600879074,1.740397024035167,0.9862249802865947,1.6968870984342879,1.6735124452019323
database_batch_1.tif,3.094142928212734,2.638673341600667e-17,6.326830140442082,1.5745674968330423,Lemon,2.9151650152589044,5.960860345115337,2.5763051307639257e-17,1.5373507045643975,3.045695329856432,1.5373507045643975,4.682301861243281
database_batch_1.tif,8.451166505416868,0.0,11.683856286304982,1.247770469188447,Lemon,7.962316384960887,11.00801413489433,0.0,1.2182779168246154,3.045697749933443,1.2182779168246154,3.710506310066333
database_batch_1.tif,1.8318557634692307,5.481277418220685,3.632924035115449,7.100408146096171,Lemon,1.7258937155015406,3.4227808139358276,5.351720848908139,6.932581479073414,1.696887098434287,1.580860630165275,2.682542007750152
database_batch_1.tif,5.865017192283839,3.3125335074883813,10.498534711647189,7.709438970342913,Lemon,5.525760551311655,9.891256419933198,3.234237802998685,7.5272171289520955,4.365495868621543,4.292979325953411,18.74098351152731
database_batch_1.tif,11.791609368213704,3.4610776109631964,14.131458746762638,5.852637676907723,Lemon,11.109534336757815,13.314037233869026,3.3792708883349487,5.714303562248797,2.2045028971112117,2.3350326739138483,5.147586294492418
database_batch_1.tif,17.13323919950634,3.475932021310678,19.27296988120569,5.303024494050907,Lemon,16.142182397926177,18.15814228410024,3.393774196868575,5.177681146504621,2.0159598861740626,1.7839069496360458,3.5962848511334022
database_batch_1.tif,15.270595944214094,8.897791798141437,17.59505157685152,11.512168019298189,Lemon,14.387282065357383,16.577281653934964,8.687481811642208,11.240064113560454,2.1899995885775816,2.552582301918246,5.590154191011375
database_batch_1.tif,20.15725533522775,8.264004555175596,22.404743522637027,10.447602323717197,Lemon,18.991277041891305,21.108761297839266,8.068674890708555,10.200660705673354,2.1174842559479607,2.131985814964798,4.5144463970923425
database_batch_1.tif,13.30018490857686,3.958010012401e-17,15.501497280975675,0.8912635157725144,Lemon,12.530847682706652,14.604827122105194,3.8644576961458884e-17,0.8701974330610122,2.073979439398542,0.8701974330610122,1.8047715843859282
database_batch_1.tif,4.71048624892088,9.52167703273566,7.358210545699935,11.824110636595298,Lemon,4.438012411289676,6.932581479073415,9.296620770054515,11.544633592766607,2.494569067783739,2.2480128227120915,5.607823251518793
